,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77158|ZNF222,0.9927777999756849,Homo sapiens,ZNF222,other,293T,None,None,1,ZNF222
77046|ZNF764,0.9927922404733338,Homo sapiens,ZNF764,tf,293T,None,None,0,ZNF764
77270|ZNF410,0.9928357416277191,Homo sapiens,ZNF410,tf,K562,Erythroblast,Bone Marrow,1,ZNF410
38808|BARHL1,0.9929204982203599,Homo sapiens,BARHL1,tf,LoVo,None,Colon,0,BARHL1
77049|ZNF74,0.9929962321350319,Homo sapiens,ZNF74,tf,293T,None,None,0,ZNF74
5976|TAT,0.9931025004451899,Homo sapiens,TAT,not sure,Jurkat,T Lymphocyte,Blood,0,TAT
77020|ZNF891,0.9932530273810767,Homo sapiens,ZNF891,other,293T,None,None,0,ZNF891
77111|ZNF480,0.9933153235990797,Homo sapiens,ZNF480,tf,293T,None,None,1,ZNF480
77023|ZNF860,0.9935105998461335,Homo sapiens,ZNF860,other,293T,None,None,0,ZNF860
77155|ZNF248,0.9936360788295582,Homo sapiens,ZNF248,tf,293T,None,None,1,ZNF248
77050|ZNF749,0.9937233894250879,Homo sapiens,ZNF749,tf,293T,None,None,1,ZNF749
77059|ZNF695,0.9937740077638014,Homo sapiens,ZNF695,tf,293T,None,None,1,ZNF695
43555|CBX4,0.9937786048794285,Homo sapiens,CBX4,cr,HEK293T,Epithelium,Embryonic Kidney,1,CBX4
65069|ZNF490,0.9939597522583381,Homo sapiens,ZNF490,,HEK293,Epithelium,Embryonic Kidney,1,ZNF490
77141|ZNF302,0.9939941309289952,Homo sapiens,ZNF302,tf,293T,None,None,1,ZNF302
77052|ZNF736,0.9942320133876965,Homo sapiens,ZNF736,other,293T,None,None,0,ZNF736
77102|ZNF525,0.9942775805206999,Homo sapiens,ZNF525,other,293T,None,None,1,ZNF525
77161|ZNF211,0.9942830072432877,Homo sapiens,ZNF211,tf,293T,None,None,1,ZNF211
42772|MXD3,0.9944991362349453,Homo sapiens,MXD3,tf,LoVo,None,Colon,1,MXD3
38680|JDP2,0.9945232301248703,Homo sapiens,JDP2,tf,LoVo,None,Colon,0,JDP2
77125|ZNF431,0.9945812705517747,Homo sapiens,ZNF431,tf,293T,None,None,0,ZNF431
77121|ZNF440,0.9950294198589615,Homo sapiens,ZNF440,tf,293T,None,None,1,ZNF440
33466|ELF5,0.9950315523821427,Homo sapiens,ELF5,tf,T47D,Epithelium,Mammary Gland,0,ELF5
76470|MBD3L2,0.9951366758253317,Homo sapiens,MBD3L2,other,None,None,None,0,MBD3L2
2638|EBNA1BP2,0.9951822386230289,Homo sapiens,EBNA1BP2,not sure,Raji,B Lymphocyte,Blood,1,EBNA1BP2
36231|DCP1A,0.9953193292846274,Homo sapiens,DCP1A,tf,HeLa,Epithelium,Cervix,1,DCP1A
62811|COPS2,0.9953420992767288,Homo sapiens,COPS2,,K562,Erythroblast,Bone Marrow,1,COPS2
65196|ZNF586,0.995598249179581,Homo sapiens,ZNF586,,HEK293,Epithelium,Embryonic Kidney,1,ZNF586
70928|RBBP4,0.9959541455273319,Homo sapiens,RBBP4,cr,T98G,Glioblastoma cell,None,1,RBBP4
42891|ZNF84,0.9959743175768482,Homo sapiens,ZNF84,predicted transcription factor,LoVo,None,Colon,1,ZNF84
42721|HOXA5,0.9960129244765599,Homo sapiens,HOXA5,tf,LoVo,None,Colon,0,HOXA5
69219|SLC22A2,0.9960300943223386,Homo sapiens,SLC22A2,not sure,HBL1,B cell lymphoma,None,1,SLC22A2
77163|ZNF19,0.9961463359682408,Homo sapiens,ZNF19,tf,293T,None,None,1,ZNF19
73945|ZNF486,0.9961619018943311,Homo sapiens,ZNF486,not sure,293T,None,None,1,ZNF486
77063|ZNF681,0.9962035538016452,Homo sapiens,ZNF681,tf,293T,None,None,1,ZNF681
34532|GCG,0.9963994058215435,Homo sapiens,GCG,not sure,HEK293T,Epithelium,Embryonic Kidney,0,GCG
77058|ZNF69,0.9967523301541893,Homo sapiens,ZNF69,tf,293T,None,None,0,ZNF69
76999|PITX3,0.9968829982829037,Homo sapiens,PITX3,tf,SH-SY5Y,Neuron,Midbrain,1,PITX3
77110|ZNF483,0.9969066403555753,Homo sapiens,ZNF483,tf,293T,None,None,1,ZNF483
77332|SP140,0.9970031373447363,Homo sapiens,SP140,tf,None,Macrophage,None,1,SP140
77154|ZNF254,0.9970273532872522,Homo sapiens,ZNF254,tf,293T,None,None,1,ZNF254
77055|ZNF714,0.9970649595209093,Homo sapiens,ZNF714,other,293T,None,None,1,ZNF714
77185|ZKSCAN2,0.9972640644940485,Homo sapiens,ZKSCAN2,tf,293T,None,None,1,ZKSCAN2
77079|ZNF605,0.9974617003066357,Homo sapiens,ZNF605,other,293T,None,None,1,ZNF605
77192|RBAK,0.9974716852748806,Homo sapiens,RBAK,tf,293T,None,None,1,RBAK
77187|ZIK1,0.9975157796145402,Homo sapiens,ZIK1,tf,293T,None,None,1,ZIK1
77078|ZNF611,0.997537942141712,Homo sapiens,ZNF611,tf,293T,None,None,1,ZNF611
38708|HOXA2,0.9975887600789309,Homo sapiens,HOXA2,tf,LoVo,None,Colon,0,HOXA2
77018|ZNF93,0.9976457248882189,Homo sapiens,ZNF93,tf,293T,None,None,1,ZNF93
38791|HOXA10,0.9977574277459755,Homo sapiens,HOXA10,tf,LoVo,None,Colon,0,HOXA10
42804|ZBTB10,0.9979603492263447,Homo sapiens,ZBTB10,tf,LoVo,None,Colon,1,ZBTB10
76859|IRAK1,0.9981929830231355,Homo sapiens,IRAK1,other,HEK293,Epithelium,Embryonic Kidney,1,IRAK1
38643|ERF,0.9982217902061687,Homo sapiens,ERF,tf,LoVo,None,Colon,0,ERF
77024|ZNF846,0.9982558207221488,Homo sapiens,ZNF846,other,293T,None,None,1,ZNF846
38800|RORA,0.9984492593803247,Homo sapiens,RORA,tf,LoVo,None,Colon,0,RORA
74673|RUVBL1,0.9986942970791088,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
53165|ALKBH3,0.9989369554585366,Homo sapiens,ALKBH3,other,PC-3,Epithelium,Prostate,1,ALKBH3
77518|H3K18me1,0.9990223406691838,Homo sapiens,H3K18me1,,U2OS,None,Bone,1,H3K18me1
38722|DLX4,0.9990813230660182,Homo sapiens,DLX4,tf,LoVo,None,Colon,0,DLX4
42717|HEYL,0.9991313109118394,Homo sapiens,HEYL,tf,LoVo,None,Colon,1,HEYL
72855|TRAF7,0.999185043874258,Homo sapiens,TRAF7,other,None,None,meningioma,1,TRAF7
39924|ICE2,0.9992632933078749,Homo sapiens,ICE2,other,HCT-116,None,Colon,1,ICE2
77064|ZNF675,0.9993015375562323,Homo sapiens,ZNF675,tf,293T,None,None,1,ZNF675
62620|CHAMP1,0.9994281305002801,Homo sapiens,CHAMP1,,K562,Erythroblast,Bone Marrow,1,CHAMP1
54657|TLX1,0.9995161743118383,Homo sapiens,TLX1,tf,ALL-SIL,T Lymphocyte,Blood,1,TLX1
38647|ETV7,0.9995206616326722,Homo sapiens,ETV7,tf,LoVo,None,Colon,1,ETV7
76567|ZNF618,0.9995286315306464,Homo sapiens,ZNF618,tf,293T,None,None,1,ZNF618
2685|ZNF711,0.999557165668748,Homo sapiens,ZNF711,predicted transcription factor,SH-SY5Y,None,Bone Marrow,1,ZNF711
77271|L3MBTL4,0.9996981245340937,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
1218|GATAD1,0.9997994453764887,Homo sapiens,GATAD1,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,GATAD1
46115|POU2F2,0.9998621451918641,Homo sapiens,POU2F2,tf,GM12878,B Lymphocyte,Blood,1,POU2F2
43305|CDK6,0.9999096858728123,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
38799|GMEB1,0.9999361935068614,Homo sapiens,GMEB1,tf,LoVo,None,Colon,1,GMEB1
41572|ING2,0.9999535963824997,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
77068|ZNF649,0.999955240755704,Homo sapiens,ZNF649,tf,293T,None,None,1,ZNF649
62905|DIDO1,0.9999667217873045,Homo sapiens,DIDO1,,K562,Erythroblast,Bone Marrow,1,DIDO1
72878|MYF5,0.9999736990796713,Homo sapiens,MYF5,tf,Rh18,rhabdomyosarcoma,None,1,MYF5
45630|WRNIP1,0.9999966557325077,Homo sapiens,WRNIP1,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,WRNIP1
8563|GPS2,0.999999558601159,Homo sapiens,GPS2,not sure,HEK293T,Epithelium,Embryonic Kidney,1,GPS2
53323|INTS3,0.9999997057323629,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
41573|ING5,0.9999999446588463,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
8564|TBL1X,0.9999999949089204,Homo sapiens,TBL1X,cr,HEK293T,Epithelium,Embryonic Kidney,1,TBL1X
76854|CDCA2,0.9999999989249405,Homo sapiens,CDCA2,other,HeLa,Epithelium,Cervix,1,CDCA2
41412|ERCC2,0.9999999998544696,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
76568|UHRF2,0.9999999999989997,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
69626|PSMA7,0.9999999999996398,Homo sapiens,PSMA7,other,None,Hematopoietic stem and progenitor cell,None,1,PSMA7
38496|RBL1,0.9999999999998839,Homo sapiens,RBL1,both predicted transcription factor and chromatin regulator,IMR90,Fibroblast,Lung,1,RBL1
38676|HMGA1,1.0,Homo sapiens,HMGA1,tf,LoVo,None,Colon,0,HMGA1
38859|CEBPE,1.0,Homo sapiens,CEBPE,tf,LoVo,None,Colon,0,CEBPE
38711|TRPS1,1.0,Homo sapiens,TRPS1,tf,LoVo,None,Colon,0,TRPS1
38660|TGIF1,1.0,Homo sapiens,TGIF1,tf,LoVo,None,Colon,0,TGIF1
58996|TAF15,1.0,Homo sapiens,TAF15,not sure,HEK293,Epithelium,Embryonic Kidney,0,TAF15
42649|CREB3L1,1.0,Homo sapiens,CREB3L1,tf,LoVo,None,Colon,0,CREB3L1
42661|HES5,1.0,Homo sapiens,HES5,tf,LoVo,None,Colon,0,HES5
42662|HES7,1.0,Homo sapiens,HES7,tf,LoVo,None,Colon,0,HES7
42839|LCOR,1.0,Homo sapiens,LCOR,tf,LoVo,None,Colon,0,LCOR
42766|ID1,1.0,Homo sapiens,ID1,tf,LoVo,None,Colon,0,ID1
41411|ERCC3,1.0,Homo sapiens,ERCC3,predicted chromatin regulator,HT1080,None,Connective Tissue,1,ERCC3
42748|AHCTF1,1.0,Homo sapiens,AHCTF1,tf,LoVo,None,Colon,0,AHCTF1
42776|NR1D1,1.0,Homo sapiens,NR1D1,tf,LoVo,None,Colon,0,NR1D1
