,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
65186|EGR3,0.00000000000000000000000000000000003256662127793515857218094937689471032888469825576914491567810874338998408557436167902201353791593708059047565153515447072025797806475025670175064541779984389860370958917371418141380341140318223107498,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
32856|TERC,0.00000000000000000000000000000074936885932413200686594784054778964768863043130556482636607182004159157303514887316544432327342734688200252685865879724296154459828470345070308891183957330776365558406295587967836588146466691058006184,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
50715|GTF2I,0.00000000000000000000000000031918366223692056653187516093540321996618021773785931512145846658354127862467913197797284983903506573977234543089953439651227630525125783155862363781682290516688623905213236591301997149795819255723972,Homo sapiens,GTF2I,tf,None,Fibroblast,None,1,GTF2I
64657|ZMYM3,0.00000000000000000000000000063884364572523196411070529759554886992573549914843754094595354083390979922572507337823611696769622322048532730185780453380299117535652644430795245341237958778059344157744893956961946799628623732905031,Homo sapiens,ZMYM3,,HepG2,Epithelium,Liver,1,ZMYM3
64556|IKZF2,0.000000000000000000000000014411337040834282665465291602072562734174909743394924343652200629204718514483753363141610933698125682262587010770119673377045125744127409077191348280623821344156678004937432431741849920289712703124754,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
46298|EGR1,0.000000000000000000000000017831198758336104337368990338092510417124084829733817211026929316216224463811763427081974028428556103536179648625973208231990204114694230495827867000265212599727637812782552240836507880465148194934548,Homo sapiens,EGR1,tf,K562,Erythroblast,Bone Marrow,1,EGR1
38299|MYC,0.000000000000000000000000086290187275063880899798159026634612673037014722909736376419582133047526199846563472156858103299929280188790567838173537290730114098366150121746034643034792510872885506446969026881410445953837640483818,Homo sapiens,MYC,tf,H128,Epithelium,Lung,1,MYC
65114|ZNF121,0.00000000000000000000000041002038840755758980924160652761063044394186167117329740640818153989322432815831898751396454485911967987891958940694920079829863799755597903632045718167939462151208515379395163294791115750073763238794,Homo sapiens,ZNF121,,HEK293,Epithelium,Embryonic Kidney,1,ZNF121
55289|5MC,0.000000000000000000000006522182955164398970866705097305281737300559324689967927907368098931821836095373496849678589591340081745331263988606543898552794772723321395279575237742406092273292917505729150763899147412211232872037,Homo sapiens,5MC,other,BicR,Epithelium,Prostate,1,5MC
37173|MAX,0.0000000000000000000000077783573075788459984098815296182721438530700374469815254155132589050288239895955343757173019150654816971394122604299466812815012604700492217265901994647065149315660261939390274264626359738022682855238,Homo sapiens,MAX,tf,H2171,Epithelium,Lung,1,MAX
65179|EGR2,0.0000000000000000000000084123266115489215801246098450473321969268492623859070047093710020714337170973268726230491811063472473980794254797624436369266097197008934975757030575568382435931174378664456961635270704027347373997206,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
65214|GLIS1,0.000000000000000000000012410621153967601200324387042553896050443771710793332260997760953938411543330922841046993658926881494712692501695781146857624115305090652799102708132385391283060418860436307336988353852765956603651925,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
63844|ZBTB33,0.00000000000000000000011455271367979733544327043560014557033168405280116037985778945373325830103825058034098217196008521622266888174345800611099438365649691728903662940109780584759221096577781417978949101375488942175026772,Homo sapiens,ZBTB33,tf,HEK293,Epithelium,Embryonic Kidney,1,ZBTB33
65151|SP1,0.00000000000000000000032858462455921542329260981303979513520300188258510515079228316486558634452638638572494084205209206776149990859113169345529798515892164766983815901271414924654597343830063142339072644927687230679110674,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP1
65118|ZNF768,0.00000000000000000000050186354172159270953728672913973961116414512948462685217731686864219632921051440073090834358055066680924651264794906621081112171697300885776786755941718998983335355544646344764052827575870102804917846,Homo sapiens,ZNF768,,HEK293,Epithelium,Embryonic Kidney,1,ZNF768
35298|ERG,0.00000000000000000000052749434632007108808738976163604290339156666841801002736039319541191869362461652277106010322474123768690068440855133437412476594852677890392368398301594926440499728031153110161315572101611188256440483,Homo sapiens,ERG,other,SKNO-1,Myeloblast,Bone Marrow,1,ERG
62565|ZNF623,0.0000000000000000000005445459608070184373129122216512137786894067224264809032328745383120555667606329200418096445679295392009565259204712590970262495248866668193597719534051477235335329464418525646067148498457450990926035,Homo sapiens,ZNF623,,HEK293,Epithelium,Embryonic Kidney,1,ZNF623
9510|TFAP2C,0.00000000000000000000093370829727488842976276705498457690904739981682935826992212316514233061936729399927176491800587077920912046502719046230230315057663531937240827775114039659248657278307088367530196807501533784179229221,Homo sapiens,TFAP2C,predicted transcription factor,SKBR-3,None,Mammary Gland,1,TFAP2C
74909|POLR3D,0.000000000000000000001022722123006621211413939329328806007979885912348806166888812009402296564392506192245853568519760095506790470230073620787601252446907994433380034252953300848580755498195754459666055760249845481032545,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0,POLR3D
64621|NRF1,0.00000000000000000001034613629942331671383847233127907132385496674266266062993683948955507420696840999587507012033080635496639035928512187864964219383101202333322926116403931582766979687951236949388144858457036932580072,Homo sapiens,NRF1,tf,K562,Erythroblast,Bone Marrow,1,NRF1
67683|ZBTB7A,0.000000000000000000015553447670530886943103017595681302193699928401381737234662548890073282317017512107538708139868522188578933579236040292325059816078828944338182771652341027112988964759191542847610801055993157792729214,Homo sapiens,ZBTB7A,predicted transcription factor,None,Proerythroblast,None,1,ZBTB7A
63582|ADNP,0.000000000000000000019973211126937466766390788528232700013790035757538964205841542052907892125573636320756929667340432548499802629694994409288402032811933416520092465038363890862281182401728011583650724096455041486790406,Homo sapiens,ADNP,tf,K562,Erythroblast,Bone Marrow,1,ADNP
65128|ZNF436,0.000000000000000000022504601053329492068105079949483982120942155468179029219934937873636672647503136147066035545349713897618155250594068421457536231882817689236904395085099670211494924448174570733518337718432655090143689,Homo sapiens,ZNF436,,HEK293,Epithelium,Embryonic Kidney,1,ZNF436
52241|ZTA,0.000000000000000000024650808897201776117188662203743470517804373660174500134541065602796892469755149648552998104145842049160186749798789992695439531755595231593418995178005135432767788344370916538891245782672795621855318,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
33171|MED1,0.000000000000000000026551619982141422441786445568102096396252130004524782488704920832863530220468285929885403286140336049630331958525320706577693742536732624148130852250269758718807017043917098668157891719604384598135144,Homo sapiens,MED1,predicted transcription factor,H2171,Epithelium,Lung,1,MED1
45867|MAZ,0.000000000000000000038601132653973782856266675679961616619176190328391195523810998257238281977570139731998823806024477352700022560641430441360148153694668971396972216404247723457944332798148554914408993048755236464703947,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
49464|552-SKD,0.000000000000000000053141021972414205032559200413425135356883547591695585619459875742050055932726385233826034951958421267445083163536742313852318279891732743582219657410395677459194664646900728881184115900265276161324953,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,1,552-SKD
46248|USF1,0.000000000000000000082325718764022778568605826613879639767523052173936906166361885921029949655309502954782314970637958866809094122518513836757952601547596841162850255794470400275523506974212385975240704253685545517749052,Homo sapiens,USF1,tf,HepG2,Epithelium,Liver,1,USF1
65164|ZNF770,0.00000000000000000013784881827868113339560262811364763997694311607201600391918009877796727783619455026949214954181565460894260241383987507331393109727625520769896005665597666339389072223105397104361404418518184247552667,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
45901|GTF3C2,0.00000000000000000017377020377564373991878494534032447906872901510157566269839202142724908071426979049765650662270335555936663648069255741793222688443689332532031422145476426058055564186566586011705111685065127049997439,Homo sapiens,GTF3C2,tf,K562,Erythroblast,Bone Marrow,1,GTF3C2
73701|KDM2B,0.00000000000000000030272788499790085564778930572779952599038485219808623551237891728380233923213185979741673628937315655456604442530293764633722223492476585248592908467617797290067788662315215429109641174019788787102899,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
45810|MXI1,0.00000000000000000054289520251059187768372371198890297311606757251628469414256583686522453958694256934283766329547840654479123793235415285464428015152144523634586671947547984195106715399949728042187108426162399430160774,Homo sapiens,MXI1,tf,HepG2,Epithelium,Liver,1,MXI1
35291|BRDU,0.00000000000000000061502485443441207750460485521243093971412704453477425180717985525140934921322816885786629079541350247599902207361978757271557085853794939706534122465884608084822236473000482714284112151449600033588138,Homo sapiens,BRDU,other,HeLa-S3,Epithelium,Cervix,1,BRDU
56052|CREB1,0.00000000000000000077140618831936910446776928015116841400169551730528833360452028705677632595740959511695988545319825776824115806335191474534516327664465662593251904568520055347489976271010463951541989328971172486199934,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
64776|SMARCA5,0.00000000000000000083403133465026657978177551723133290420976617388047269783620328904990956936366149428073457521822852553733011285188314060657676667936900510869127854520286015639623466959639839832656077715645350588875164,Homo sapiens,SMARCA5,cr,K562,Erythroblast,Bone Marrow,1,SMARCA5
63813|L3MBTL2,0.0000000000000000010688892258760656639828280035177110542357599776929307352987627685401902931504057964298455708862395679027659542657153368692840542182640035877386736499456456427766511164393569425576880347204949589652043,Homo sapiens,L3MBTL2,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,L3MBTL2
