,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
63477|POLR2H,0.9827255439162483,Homo sapiens,POLR2H,,K562,Erythroblast,Bone Marrow,1,POLR2H
42707|ARNT2,0.9828466300333114,Homo sapiens,ARNT2,tf,LoVo,None,Colon,1,ARNT2
64760|POLR2AphosphoS5,0.9829091265718295,Homo sapiens,POLR2AphosphoS5,,None,Neuron,None,1,POLR2AphosphoS5
63522|TARDBP,0.9829817811132058,Homo sapiens,TARDBP,,GM12878,B Lymphocyte,Blood,1,TARDBP
42720|HOXA4,0.9830530208432786,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
43555|CBX4,0.983315398741835,Homo sapiens,CBX4,cr,HEK293T,Epithelium,Embryonic Kidney,1,CBX4
62681|ZNF16,0.9842820778199153,Homo sapiens,ZNF16,,HEK293,Epithelium,Embryonic Kidney,1,ZNF16
64039|HBP1,0.9843705400364817,Homo sapiens,HBP1,tf,HepG2,Epithelium,Liver,1,HBP1
38808|BARHL1,0.9848893968350428,Homo sapiens,BARHL1,tf,LoVo,None,Colon,0,BARHL1
64556|IKZF2,0.9855295061057903,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
51838|MRE11A,0.9855605378302232,Homo sapiens,MRE11A,not sure,LNCaP,Epithelium,Prostate,1,MRE11A
63394|ZNF488,0.9856025259984763,Homo sapiens,ZNF488,,HEK293,Epithelium,Embryonic Kidney,1,ZNF488
64308|ZNF837,0.9856754595429338,Homo sapiens,ZNF837,,HEK293,Epithelium,Embryonic Kidney,1,ZNF837
36764|ZNF76,0.9857615116229621,Homo sapiens,ZNF76,predicted transcription factor,FLP76,Epithelium,Embryonic Kidney,1,ZNF76
8816|KDM4A,0.9857741144229923,Homo sapiens,KDM4A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM4A
55543|RAG2,0.9864358577991177,Homo sapiens,RAG2,cr,None,Thymocyte,None,1,RAG2
56010|CDK12,0.9867397264143513,Homo sapiens,CDK12,tf,Jurkat,T Lymphocyte,Blood,1,CDK12
63357|ZFP41,0.9870493148407156,Homo sapiens,ZFP41,,HEK293,Epithelium,Embryonic Kidney,1,ZFP41
42738|NFYA,0.9870856472405913,Homo sapiens,NFYA,tf,LoVo,None,Colon,1,NFYA
63524|ZFP2,0.9882286439527261,Homo sapiens,ZFP2,,HEK293,Epithelium,Embryonic Kidney,1,ZFP2
63203|ZNF354C,0.9882805166389003,Homo sapiens,ZNF354C,,HEK293,Epithelium,Embryonic Kidney,1,ZNF354C
45683|GTF2F1,0.9883341621056803,Homo sapiens,GTF2F1,tf,H1,Embryonic Stem Cell,Embryo,1,GTF2F1
62762|PKNOX1,0.9885809261285821,Homo sapiens,PKNOX1,tf,K562,Erythroblast,Bone Marrow,1,PKNOX1
1228|CCDC101,0.9889896727678631,Homo sapiens,CCDC101,cr,HeLa,Epithelium,Cervix,1,CCDC101
62900|ZNF346,0.9892097030061595,Homo sapiens,ZNF346,,HEK293,Epithelium,Embryonic Kidney,1,ZNF346
77536|REL,0.9897292956638155,Homo sapiens,REL,tf,GM12878,Lymphoblastoid,None,1,REL
65071|KLF12,0.9901365492365335,Homo sapiens,KLF12,,HEK293,Epithelium,Embryonic Kidney,1,KLF12
63449|DEAF1,0.9905462936177378,Homo sapiens,DEAF1,,K562,Erythroblast,Bone Marrow,1,DEAF1
36226|DCP1A,0.9906842431529562,Homo sapiens,DCP1A,tf,HEK293,Epithelium,Embryonic Kidney,1,DCP1A
64311|PRDM2,0.9908880652683048,Homo sapiens,PRDM2,,HEK293,Epithelium,Embryonic Kidney,1,PRDM2
38830|FEV,0.9912212128241544,Homo sapiens,FEV,tf,LoVo,None,Colon,1,FEV
63872|ZNF138,0.9915508287391475,Homo sapiens,ZNF138,,HEK293,Epithelium,Embryonic Kidney,1,ZNF138
63050|ZNF292,0.9915557289130688,Homo sapiens,ZNF292,,HEK293,Epithelium,Embryonic Kidney,1,ZNF292
52242|ZTA,0.9916812518135488,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
43550|C17orf96,0.9919730211327347,Homo sapiens,C17orf96,not sure,HEK293T,Epithelium,Embryonic Kidney,1,C17orf96
64302|E2F5,0.9920729909845254,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
49481|RPE,0.9929919139465295,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
45920|HMGN3,0.99306230591942,Homo sapiens,HMGN3,tf,K562,Erythroblast,Bone Marrow,1,HMGN3
64463|BCL11B,0.9935520172663768,Homo sapiens,BCL11B,,HEK293,Epithelium,Embryonic Kidney,1,BCL11B
38790|KLF3,0.9936259321697829,Homo sapiens,KLF3,tf,LoVo,None,Colon,1,KLF3
74573|SPIN1,0.9938730408248992,Homo sapiens,SPIN1,other,T778,None,None,1,SPIN1
2110|PRAME,0.9944495409808813,Homo sapiens,PRAME,not sure,K562,Erythroblast,Bone Marrow,1,PRAME
45895|CCNT2,0.9945416183384281,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1,CCNT2
64618|HDAC8,0.9946145445554451,Homo sapiens,HDAC8,cr,K562,Erythroblast,Bone Marrow,1,HDAC8
50210|DDX21,0.9946736771514628,Homo sapiens,DDX21,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,DDX21
63464|MBD1_isoform1,0.9947714153107825,Homo sapiens,MBD1_isoform1,,HepG2,Epithelium,Liver,1,MBD1_isoform1
38655|HOXC6,0.995287573263305,Homo sapiens,HOXC6,tf,LoVo,None,Colon,0,HOXC6
65164|ZNF770,0.9961333215251058,Homo sapiens,ZNF770,,HEK293,Epithelium,Embryonic Kidney,1,ZNF770
63580|ZNF239,0.9963059999564363,Homo sapiens,ZNF239,,HEK293,Epithelium,Embryonic Kidney,1,ZNF239
49448|EGLN2,0.996866483781282,Homo sapiens,EGLN2,other,T47D,Epithelium,Mammary Gland,1,EGLN2
39350|KLF1,0.9969217597858417,Homo sapiens,KLF1,predicted transcription factor,None,Erythroid Cell,None,1,KLF1
63098|SMAD5,0.9971395751951707,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
65060|ZNF329,0.9976387481867522,Homo sapiens,ZNF329,,HEK293,Epithelium,Embryonic Kidney,1,ZNF329
63936|YBX3,0.9977346743407595,Homo sapiens,YBX3,tf,K562,Erythroblast,Bone Marrow,1,YBX3
62818|ZFP3,0.9981470556570045,Homo sapiens,ZFP3,,HEK293,Epithelium,Embryonic Kidney,1,ZFP3
42711|DR1,0.9982610967716468,Homo sapiens,DR1,tf,LoVo,None,Colon,1,DR1
76529|MBTD1,0.9988794268990011,Homo sapiens,MBTD1,other,K562,Lymphoblast,None,1,MBTD1
65166|ZNF322,0.9989040107210728,Homo sapiens,ZNF322,,HEK293,Epithelium,Embryonic Kidney,1,ZNF322
76527|EPC1,0.9990141708513216,Homo sapiens,EPC1,tf,K562,Lymphoblast,None,1,EPC1
38820|BARX2,0.9991759001886698,Homo sapiens,BARX2,tf,LoVo,None,Colon,1,BARX2
63301|NKRF,0.9992578268087806,Homo sapiens,NKRF,,K562,Erythroblast,Bone Marrow,1,NKRF
63555|MIER1,0.9994251354035002,Homo sapiens,MIER1,,K562,Erythroblast,Bone Marrow,1,MIER1
77117|ZNF445,0.9994788969269854,Homo sapiens,ZNF445,tf,293T,None,None,1,ZNF445
64620|TRIM22,0.9995557392314148,Homo sapiens,TRIM22,,GM12878,B Lymphocyte,Blood,1,TRIM22
77457|SON,0.9995945009639531,Homo sapiens,SON,,K562,Leukemia,None,1,SON
75571|HAP1,0.9995954679769753,Homo sapiens,HAP1,other,None,None,None,1,HAP1
77173|ZNF141,0.9996021756805167,Homo sapiens,ZNF141,tf,293T,None,None,1,ZNF141
77366|TIAM1,0.9996654971464025,Homo sapiens,TIAM1,other,SW480,Epithelium,Colon,1,TIAM1
38845|DBP,0.9997231083928291,Homo sapiens,DBP,tf,LoVo,None,Colon,0,DBP
64424|KLF16,0.9997562430621734,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
65118|ZNF768,0.9998021465287774,Homo sapiens,ZNF768,,HEK293,Epithelium,Embryonic Kidney,1,ZNF768
76520|BPTF,0.9998374659510332,Homo sapiens,BPTF,tf,None,Erythroid Cell,None,1,BPTF
68102|CRY1,0.9998599491082982,Homo sapiens,CRY1,not sure,U2OS,None,Bone,1,CRY1
63738|ZNF654,0.9998820022104031,Homo sapiens,ZNF654,,HEK293,Epithelium,Embryonic Kidney,1,ZNF654
32850|TERC,0.9999615135812818,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
76526|BRD9,0.9999779888926756,Homo sapiens,BRD9,other,NOMO-1,Acute myeloid leukemia,None,1,BRD9
65186|EGR3,0.9999932517377461,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
65128|ZNF436,0.9999999997760085,Homo sapiens,ZNF436,,HEK293,Epithelium,Embryonic Kidney,1,ZNF436
58996|TAF15,1.0,Homo sapiens,TAF15,not sure,HEK293,Epithelium,Embryonic Kidney,0,TAF15
38660|TGIF1,1.0,Homo sapiens,TGIF1,tf,LoVo,None,Colon,0,TGIF1
38676|HMGA1,1.0,Homo sapiens,HMGA1,tf,LoVo,None,Colon,0,HMGA1
38711|TRPS1,1.0,Homo sapiens,TRPS1,tf,LoVo,None,Colon,0,TRPS1
42839|LCOR,1.0,Homo sapiens,LCOR,tf,LoVo,None,Colon,0,LCOR
38859|CEBPE,1.0,Homo sapiens,CEBPE,tf,LoVo,None,Colon,0,CEBPE
42649|CREB3L1,1.0,Homo sapiens,CREB3L1,tf,LoVo,None,Colon,0,CREB3L1
42776|NR1D1,1.0,Homo sapiens,NR1D1,tf,LoVo,None,Colon,0,NR1D1
42766|ID1,1.0,Homo sapiens,ID1,tf,LoVo,None,Colon,0,ID1
42748|AHCTF1,1.0,Homo sapiens,AHCTF1,tf,LoVo,None,Colon,0,AHCTF1
42662|HES7,1.0,Homo sapiens,HES7,tf,LoVo,None,Colon,0,HES7
42661|HES5,1.0,Homo sapiens,HES5,tf,LoVo,None,Colon,0,HES5
