,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
76683|CCND2,0.9973920205086602,Homo sapiens,CCND2,other,MM1.S,B Lymphocyte,Blood,1,CCND2
63283|ZEB2,0.9973921146301821,Homo sapiens,ZEB2,,K562,Erythroblast,Bone Marrow,1,ZEB2
65139|ZBTB42,0.9975930026027306,Homo sapiens,ZBTB42,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB42
63979|NBN,0.9976102466178542,Homo sapiens,NBN,tf,MCF-7,Epithelium,Breast,1,NBN
65085|ZNF134,0.9976852760886942,Homo sapiens,ZNF134,,HEK293,Epithelium,Embryonic Kidney,1,ZNF134
77045|ZNF765,0.997800817218643,Homo sapiens,ZNF765,other,293T,None,None,1,ZNF765
62557|PLRG1,0.9978432967586837,Homo sapiens,PLRG1,,HepG2,Epithelium,Liver,1,PLRG1
49196|DDX5,0.997882948823221,Homo sapiens,DDX5,predicted chromatin regulator,NTERA-2,None,Testis,1,DDX5
65165|ZNF449,0.997921178547647,Homo sapiens,ZNF449,,HEK293,Epithelium,Embryonic Kidney,1,ZNF449
42890|ZNF83,0.9979530056279591,Homo sapiens,ZNF83,tf,LoVo,None,Colon,1,ZNF83
63763|ZNF48,0.9979539523115356,Homo sapiens,ZNF48,,HEK293,Epithelium,Embryonic Kidney,1,ZNF48
77114|ZNF460,0.9979631031971106,Homo sapiens,ZNF460,tf,293T,None,None,1,ZNF460
63037|ZNF121,0.9980152211154192,Homo sapiens,ZNF121,,HEK293,Epithelium,Embryonic Kidney,1,ZNF121
42717|HEYL,0.9980516177323063,Homo sapiens,HEYL,tf,LoVo,None,Colon,1,HEYL
43555|CBX4,0.9981143975002796,Homo sapiens,CBX4,cr,HEK293T,Epithelium,Embryonic Kidney,1,CBX4
38820|BARX2,0.9981840922885774,Homo sapiens,BARX2,tf,LoVo,None,Colon,1,BARX2
64550|GTF2A2,0.9981904216043095,Homo sapiens,GTF2A2,,K562,Erythroblast,Bone Marrow,1,GTF2A2
38799|GMEB1,0.998202217129021,Homo sapiens,GMEB1,tf,LoVo,None,Colon,1,GMEB1
63514|PYGO2,0.9982198092580092,Homo sapiens,PYGO2,,K562,Erythroblast,Bone Marrow,1,PYGO2
53075|RBP2,0.9982199739770745,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
39924|ICE2,0.9982480876462985,Homo sapiens,ICE2,other,HCT-116,None,Colon,1,ICE2
42707|ARNT2,0.9983544851466313,Homo sapiens,ARNT2,tf,LoVo,None,Colon,1,ARNT2
5931|ETV1,0.9984277364850762,Homo sapiens,ETV1,tf,RWPE1,Epithelium,Prostate,1,ETV1
38852|ATF1,0.998487307582962,Homo sapiens,ATF1,tf,LoVo,None,Colon,1,ATF1
65060|ZNF329,0.9985934296187264,Homo sapiens,ZNF329,,HEK293,Epithelium,Embryonic Kidney,1,ZNF329
46288|BCLAF1,0.9986624761377272,Homo sapiens,BCLAF1,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,BCLAF1
38790|KLF3,0.9986751644388494,Homo sapiens,KLF3,tf,LoVo,None,Colon,1,KLF3
73979|ZFP57,0.9987200067396038,Homo sapiens,ZFP57,tf,293T,None,None,1,ZFP57
64878|ZBTB1,0.9987517974026527,Homo sapiens,ZBTB1,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB1
35296|ORC1,0.9987671157119938,Homo sapiens,ORC1,other,HeLa-S3,Epithelium,Cervix,1,ORC1
77120|ZNF441,0.9988243476811209,Homo sapiens,ZNF441,tf,293T,None,None,1,ZNF441
1629|PHF8,0.9988957889722623,Homo sapiens,PHF8,cr,Hs68,Fibroblast,Foreskin,1,PHF8
36764|ZNF76,0.9989575796345561,Homo sapiens,ZNF76,predicted transcription factor,FLP76,Epithelium,Embryonic Kidney,1,ZNF76
77271|L3MBTL4,0.9989909956961888,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
38736|NKX2-2,0.9990046928681298,Homo sapiens,NKX2-2,tf,LoVo,None,Colon,1,NKX2-2
63766|ZNF414,0.9990226280587265,Homo sapiens,ZNF414,,HEK293,Epithelium,Embryonic Kidney,1,ZNF414
77150|ZNF273,0.9990229776964534,Homo sapiens,ZNF273,tf,293T,None,None,1,ZNF273
34400|MECP2,0.9990338616359791,Homo sapiens,MECP2,cr,HCT-116,None,Colon,1,MECP2
62731|ZNF366,0.9991103058629545,Homo sapiens,ZNF366,,HEK293,Epithelium,Embryonic Kidney,1,ZNF366
2685|ZNF711,0.9991768875894098,Homo sapiens,ZNF711,predicted transcription factor,SH-SY5Y,None,Bone Marrow,1,ZNF711
63977|ZNF512,0.9992082132895981,Homo sapiens,ZNF512,,K562,Erythroblast,Bone Marrow,1,ZNF512
64526|RFX1,0.999269012562156,Homo sapiens,RFX1,tf,MCF-7,Epithelium,Breast,1,RFX1
62905|DIDO1,0.9992711071243572,Homo sapiens,DIDO1,,K562,Erythroblast,Bone Marrow,1,DIDO1
50700|GTF2I,0.9992716238744113,Homo sapiens,GTF2I,tf,None,Fibroblast,None,1,GTF2I
62681|ZNF16,0.9992717982105227,Homo sapiens,ZNF16,,HEK293,Epithelium,Embryonic Kidney,1,ZNF16
