,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
69456|TP53,1.6104092510275766626146581657977069034451407975205464945909663058621335365258989899169839915726115301074941684999352270859405350969005292150575357918883739424565758340957088627850792764383926317088518e-98,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
46234|SP1,2.0577107127969043053981690986027600843295291807387526872291585315095177039974887473980099968506414288073156765112013621148779651248801461641780343704071202355557457664271210819444832288255568193374468e-96,Homo sapiens,SP1,predicted chromatin regulator,HepG2,Epithelium,Liver,1,SP1
45788|MAZ,4.8942280505839875984849623454176069179606406294413964819455602092842242989887226467950239655146661958294078289273152453549741541756321905520724531481627638579829618054161619647223349813911476870934821e-96,Homo sapiens,MAZ,tf,HepG2,Epithelium,Liver,1,MAZ
56053|ATF1,1.9270591280660883774406824267397162209743328399139169559923923481435623780872352049345309057022857110151445936727045710702935752973930192348864063296933256142367572484035301641071085815163477895600528e-93,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
49267|BMI1,3.6584105396748864922809757531103105877467202388140193476621887323546610299803310944006536959487011082960964980124080779182013764860270870863256221138658836220220220853487142521411350575285080756274061e-93,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
56051|CREB1,1.3191127943154445034390979964970286575112026480710128959364826983105248568669035042079207321226176987499755231168356455669418937020117639850328153406726211949455010347481692191102999153753864150864037e-88,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
45791|TBP,8.9001224993097243512339962591403828339304826365855100195286242332290854436140223984807331566725601790660095829606862688300301819552846257650581457609200993531288716457880379416555509287717154463407031e-87,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
46226|YY1,6.296307666700124734971076855735335679533827578268153469043026682811289302971358228284146537138478305784900661176336263069431200190339373267554088613454101885095453919403733999114972973068324576779278e-85,Homo sapiens,YY1,tf,HepG2,Epithelium,Liver,1,YY1
7341|HEY1,2.1281143004139818843869344773571435749624474331759427616360112656455245078085186463780281110029237901853290205605872136184227173733358276686150888287696910032771807796883664351404967219862693417701123e-84,Homo sapiens,HEY1,tf,HepG2,Epithelium,Liver,1,HEY1
56045|GABPA,2.6671031930949841561349283438503835713349025016322675960182432315363043947472437216124816859965341362767801508520905763659650930421401612583094846678652046530573807353989322013744765767492970551261657e-84,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
74686|KLF10,1.650541158609880881283392250098528570825874532670351599771472762073206145457760758914513859956211486595721057949805084376537402203562944619281313417710800281247962123963248388595102472609266406981057e-83,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
64797|CREM,6.7869021601081531424313396592518436814145004105841740160047446450893337757544827421944150439061227926637760153929481070773331730447840655114164258129086893184001298466343259098468794883365755513799075e-83,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
65186|EGR3,9.1259014248640597837943303408057031472532177078178984336679171203446944132031800185322968130651899633345012023532900820755095027939633155601429003033631980180159214502905096409792582335387004183495949e-83,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
45810|MXI1,1.6822085017088233017227660843966833531763329922153571031478561657544805240600687963106427979479119958813587828113516319404193450863743504511859423062687848406999973006992296581277820060230187240977776e-82,Homo sapiens,MXI1,tf,HepG2,Epithelium,Liver,1,MXI1
45827|MYC,2.2698740548748481329611074086835820150937094193426535546979254026689556419841814698371679136280638551367775947537041851425884487306624402495428626552274426033299534053355464316208455323653801089606829e-82,Homo sapiens,MYC,tf,HepG2,Epithelium,Liver,1,MYC
63155|GABP,1.6268708575758157513834328555741772463478645923359460551269107887605798077338351401924139128550450185884524757180450166223028447475254035040764698095368567268459868465055448852532070079219594598357021e-81,Homo sapiens,GABP,,HepG2,Epithelium,Liver,1,GABP
62715|TFAP4,1.1612880149361417629020423765577437403322633438265103927205830550325699224750302456941482421917197740325417596287371744384091599997656285488907188231611389003995597563195105979886896836708003668357258e-80,Homo sapiens,TFAP4,,HepG2,Epithelium,Liver,1,TFAP4
64667|NRF1,2.0904335363152091148112442424458561216730503085683419099339170847397140430090007276491919368033984640534539301220814094628800222473877774981168518684282886401849630737271824698085331259263230097387247e-76,Homo sapiens,NRF1,tf,HepG2,Epithelium,Liver,1,NRF1
46236|SIN3A,2.682378863418619596871520501292496842290336862685794886029749318390747352368069584382870712617076168316010566406935150390421941220429371327800109538283071259543339692796689155406605838062951808108573e-76,Homo sapiens,SIN3A,tf,HepG2,Epithelium,Liver,1,SIN3A
46254|ELF1,2.9521369651661640611069713398491598272799265896830747907515919738858523884511554231427373968785449888459276727767078535996077600007516830645411572265365205665549878642594052886565524357637178526070998e-76,Homo sapiens,ELF1,tf,HepG2,Epithelium,Liver,1,ELF1
46258|TAF1,1.0434517755807099817151917649279662403992269406904124098501582206669387202237221869213944363737425701285608173554324164011755787454673943246257307693228949869170906336132694531155942291510940683141623e-75,Homo sapiens,TAF1,tf,HepG2,Epithelium,Liver,1,TAF1
49977|BRD4,4.9479633263262757476097338424548681306692659976037020336527611327807786164680993259469960922310250889067920635956559905657196752386835225059298941762613221558828035539519783152087043747558264082514662e-75,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
