,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
46234|SP1,3.1546475450477634590157341896337268806834732312047327216399799388671919854074298637182822474890425859663043632913064691712715361187844833506715787356708023852714081909276548364974571807870165275757921e-92,Homo sapiens,SP1,predicted chromatin regulator,HepG2,Epithelium,Liver,1,SP1
45788|MAZ,2.5127194869039826166832054756436091253277003449754701573236707077836915003125321203632936658645510416556848960701864790835820253959080118419866901880193660357485996756468761554951827446217018537919263e-90,Homo sapiens,MAZ,tf,HepG2,Epithelium,Liver,1,MAZ
45791|TBP,1.2915835380190673391716043567985221683723807966069372173748559960073875885131594308475485663214203093697580760778641371009544225751243546309938103291543805340052907409665788881176908438970635408186797e-85,Homo sapiens,TBP,tf,HepG2,Epithelium,Liver,1,TBP
69456|TP53,1.8149254702653521083872129857152726995357774855664953029164889157594046574898004398818996236057393468054326460153976612797407279945082591868021864394208251028356016337927755477590861574584920607952347e-85,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
65186|EGR3,2.8658478168459088305108045860854271729778932061900210320362606220521942986074642244983967056456072319585276288494316369173722855831893552096154730882157974621910480073678898628967016005391963735066849e-84,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
56053|ATF1,5.8224383613757698928158543713333505666885389486626432385342892774405685792087676327579530674817140360314355353309936641952856111101032503590419545530992683562700237153726338048455338514075529531839536e-84,Homo sapiens,ATF1,tf,HepG2,Epithelium,Liver,1,ATF1
7341|HEY1,6.1992228223055081417783678129445517227952868144443906934793464194416254557094151004545808233713400253376367956232286129890030930698584880346028072023155276864997832219486122739883721000764649817023988e-81,Homo sapiens,HEY1,tf,HepG2,Epithelium,Liver,1,HEY1
63155|GABP,2.7763693455393915709045052412391679250646574217746070768919381313737784560711652682179491393436918017858697045782338926198709607370745772715296004351808865048273944849638336215420140120339733124119246e-80,Homo sapiens,GABP,,HepG2,Epithelium,Liver,1,GABP
56051|CREB1,4.5093475560055834227716220255020037471501291332182273057247007297907744512427873298794006606631285036199046708811398029544697552687295999604745807093224093718883301114616087585433085397942557228587413e-78,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
45810|MXI1,1.0720881522455694615678255050582133204153006310445078239083105967567245590944987586275198551712587529353761259804202815956026935686630764434902782629842401883161178282072529417659822427208820252141711e-76,Homo sapiens,MXI1,tf,HepG2,Epithelium,Liver,1,MXI1
