,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
62715|TFAP4,3.1217126291337232304365944346482839458418433005060017949247391384057798235913916016731880048748251112906424763504133163588899273610865955094148836482530670890059058944714589324029286530434721100878229e-76,Homo sapiens,TFAP4,,HepG2,Epithelium,Liver,1,TFAP4
46258|TAF1,1.0785613498324644268796787681629335132150037851997318859866626327924594408066655673473572282495492484608545391571861430141158427675050918417174026366289724193110747461899982207718671865284962097255961e-75,Homo sapiens,TAF1,tf,HepG2,Epithelium,Liver,1,TAF1
56045|GABPA,1.2638355261274086973604933178902428928393476030763213150389869921070486155401582022974198250905196971531287365546826804694541565278140717268228844724317088205858556297609959529656889279521596117217863e-75,Homo sapiens,GABPA,tf,HepG2,Epithelium,Liver,1,GABPA
45883|MYC,1.4575697594418498162553098634537238675721373627186684036641028180067060339856431055506730765140152089431989351347499779998956620378435550736169369824324246748356052134248997700925598476724597790484865e-73,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1,MYC
64667|NRF1,3.7608895667173630947894848379515942973852743768380483683201368103842592784955224555990906840836339550671269445871585092183480602629142599548023956542224091247146796628269464151390346614501750469366422e-73,Homo sapiens,NRF1,tf,HepG2,Epithelium,Liver,1,NRF1
74686|KLF10,8.9227305041275123335604324260391838165051585891175092085247688601427803306073621415672974271751338133356926620157041981403087063382260064003908182278269157452946689279144480072446335859523365439916676e-73,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
46298|EGR1,3.1928732392080999036150689314284937369069532736394454969479201963744102270617518047577832388876701888635967751934247078904997484930391469720753500879897139455006249952014963979133686206521607652300446e-72,Homo sapiens,EGR1,tf,K562,Erythroblast,Bone Marrow,1,EGR1
45411|PHF8,5.4358191303467460672020899431728447774488644489457880277408199552640526416062881247999221290619697747134413426509129545759906897043634875278974953174376704483208192970697584476783048624249819465737003e-72,Homo sapiens,PHF8,cr,K562,Erythroblast,Bone Marrow,1,PHF8
64556|IKZF2,2.4782241093096123981174709551228252034728560119675350133887812586962648610272861942126636309501030552184233356831262876021579261997585985691504744007892795018710539837911699388973825039823050599477285e-71,Homo sapiens,IKZF2,tf,HEK293,Epithelium,Embryonic Kidney,1,IKZF2
46226|YY1,6.4383334158300469364158418344106722155827785127301645040579990583513952316577144077127353245097367275424239420385243361491738573181870634779794283000163859269888330229859082034065777504087737083692374e-71,Homo sapiens,YY1,tf,HepG2,Epithelium,Liver,1,YY1
32848|TERC,6.7103547136137081562718232779484371535574211892970087143354414807146223033031006427273413970796065834543806163097975051767242453485465868125891950461609393477008537175812427625416511615669677486602967e-70,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
57115|LEF1,7.9176190086863211285080719451349808828570003686881534722090846782541349616095405014675961052843036927160543134472560812212564615879675775298572810659849172500862874368286388136743153005202688683263402e-70,Homo sapiens,LEF1,tf,RL95-2,None,Uterus,1,LEF1
64797|CREM,1.1388320844673606204221385771082422354893492574198477051559714099387370082724009672321073210256557571817790039860652781083788486211638131148102304038328526475527092713177281183327207179183860447381994e-69,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
7343|HNF4A,2.649797394605104401903903550521116780326002800349961466442454542325228114931069384754997770954946213749351722282153954654519341454572779971913360386861187227194721277003662283510875686894337095181324e-69,Homo sapiens,HNF4A,tf,HepG2,Epithelium,Liver,1,HNF4A
74642|TSC22D4,9.3581724052169629519481844673241705593530395145581513079480185893303420549812039875965831554003459118206403086807507484431060484120441684997267363572055283178519637417716903235158332083151923027037231e-69,Homo sapiens,TSC22D4,,HepG2,Epithelium,Liver,1,TSC22D4
45907|MAX,1.4406939857703029946457870351767866304563816360351536412357037023718840802060538613789391539517857205805401953570644826613858318157303654926739092060735196806437292967722456399816531306941636244418619e-68,Homo sapiens,MAX,tf,K562,Erythroblast,Bone Marrow,1,MAX
65214|GLIS1,2.6320387759925830595279828608422544468393109626226366338387815224264615312963369099650833342120402922298226983155124245499188239002217301060018937138983057495024632133552644142499488189521181389872189e-68,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1,GLIS1
46236|SIN3A,3.3770862279422609209885280265025626639184754908591850658652731972360263171628873126264378654794750848047150209950380969492504427498941570257424747568313529919468778491460778987984458181481914205092883e-68,Homo sapiens,SIN3A,tf,HepG2,Epithelium,Liver,1,SIN3A
46297|E2F6,5.7394362177016026439654888594614137377342694736441175752065015998496244889030801552008779656354055794712055230351807820784850708379643030372371128084853375383444955188468149704182140304874636064636339e-68,Homo sapiens,E2F6,tf,K562,Erythroblast,Bone Marrow,1,E2F6
65084|SP2,9.2996652457319933263330948203289996840440525182698777593696169176029309421705886510335377510438584670240506068426927516619803886655645074732572348002468934017213674122106487217305820918334146239399202e-68,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
63772|NR2F6,1.0570757788789913060193166147888986113736596567808003406952863667591283314445431544652131410221620041724395370424830036238677932014802761902520310806645761057229762557416221559056296773009645544742717e-66,Homo sapiens,NR2F6,tf,HepG2,Epithelium,Liver,1,NR2F6
65111|SP4,1.8075556472321673471853052293286968786544967007207635481320719050881462861789817721948889525139012648789466596937707361479770354341482473421138068598140632422505901917454183961664937219894149877309633e-66,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1,SP4
45895|CCNT2,4.915371288277662805068937406844954505107083120132728078227419912883655073789565444912378642381820922762717644923434667487901788570087478112698369986199402902469159789373242393367681303964380287871027e-66,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1,CCNT2
65197|KLF15,5.730608687701801882315864783264809841299339872207604083703248964476646245045194585247963772709068840242200917315784068326737803378286798977650981127490098672183467524884408595534104749376481601112366e-66,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1,KLF15
5389|RELA,0.000000000000000000000000000000000000000000000000000000000000000010845732772994243493404974008573626575189082072850634861384331267097010574506079735302874657446056352734511679884845983808551500913012683243763651208471459596596587859477623005560521024568347757154932,Homo sapiens,RELA,tf,A549,Epithelium,Lung,1,RELA
49949|KLF9,0.000000000000000000000000000000000000000000000000000000000000000023939657682411634775494857218095291342684996507965652470754184891313478406999403449502709691950088182573235607796357516114472520994743825948535090980974774766033633431417919341669482438513684224059441,Homo sapiens,KLF9,tf,GBM1A,Glioblastoma Stem Cell,None,1,KLF9
65147|EGR2,0.000000000000000000000000000000000000000000000000000000000000000056572822080901451548227136441671762208780648656060438310285640609200852620755912305297364598344019904529838312728336303779110221321639491215599247798425842790873153213768644438262464482491631905946043,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
46254|ELF1,0.00000000000000000000000000000000000000000000000000000000000000013393088721215416490139648497626131603097834606651403020667859596298833365021351648210085548743254742300593651971382134573033720776661856705736887503984705543900061811950171093463780469237727409353973,Homo sapiens,ELF1,tf,HepG2,Epithelium,Liver,1,ELF1
71874|MED1,0.00000000000000000000000000000000000000000000000000000000000000014632221572633219805180159076760226763809531920020807691201390317071208124818311583382474600362332506447475806103072928192700104469311406234582837300594468104307479093731776799101590855823926923464156,Homo sapiens,MED1,predicted transcription factor,HepG2,hepatocellular carcinoma,None,1,MED1
63844|ZBTB33,0.00000000000000000000000000000000000000000000000000000000000000028882421035384422588971971492108543111632206521282831204319835936382236737397407160807840208816691980534249755573606774790885663905919124528195717160013082319820797834636380904962027320288882100518402,Homo sapiens,ZBTB33,tf,HEK293,Epithelium,Embryonic Kidney,1,ZBTB33
9510|TFAP2C,0.0000000000000000000000000000000000000000000000000000000000000026146751170051408819790759251455235590570873039599266186486487491825363931508640021775840067046473954383633854176169762627945762141553242269130782538248987648096594399680313864578106989707821889645593,Homo sapiens,TFAP2C,predicted transcription factor,SKBR-3,None,Mammary Gland,1,TFAP2C
45949|IRF1,0.0000000000000000000000000000000000000000000000000000000000000030922137450439448455299815829671624434014000240395785992347084728427005782863094937937791921727540484556955050144737627558024336653078739883772645678285963877521148601804129709129237379608312219483453,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
44320|E2F1,0.0000000000000000000000000000000000000000000000000000000000000067467735582955347041105329467907566547344018098371528452106703977404175212457599246715130461990030529211277254408836016744576340243284337293964770232611525317164355619069324087943862141081526201898733,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1,E2F1
49267|BMI1,0.000000000000000000000000000000000000000000000000000000000000010821769576300705904889294292522001127779687451445544577224350078183774189282469962343604386956646551126809058657992685662716159346232163825470396830807137484597506222953243678533270077137269765813102,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
49447|HIF1A,0.000000000000000000000000000000000000000000000000000000000000074659045465955224938243393721516660069179207178772035729524575417175966022002543290891810600588184478394975163662322510582420990169108132133087509976165665273051021241221670440899595802797242773953211,Homo sapiens,HIF1A,predicted chromatin regulator,T47D,Epithelium,Mammary Gland,1,HIF1A
37633|ERG,0.000000000000000000000000000000000000000000000000000000000000076145819095036807004616368725647562377103507520165348772589428973102983277176743110356736977193904282070325329067827290691766730294035228134932635302390778324913304035630659366451416363994047348920261,Homo sapiens,ERG,other,MCF-7,Epithelium,Breast,1,ERG
55393|SPI1,0.00000000000000000000000000000000000000000000000000000000000013620999284661825834205940852027484567223965932904037085174305746062144660256479960718397589158655965866084299325732029830035928400721477839872305043526370088382843057350470291859205083857006083978776,Homo sapiens,SPI1,predicted transcription factor,786-O,Epithelium,Kidney,0,SPI1
73701|KDM2B,0.00000000000000000000000000000000000000000000000000000000000014747881231640070294858315648962603072524266887471261057430998787211052846051648744203290444894140724368888657786943974479431795985912211519850010958109834328307337389821026896499738594391571555319241,Homo sapiens,KDM2B,cr,SEM,B Lymphocyte,None,1,KDM2B
74655|USF2,0.00000000000000000000000000000000000000000000000000000000000033720302201186165430364013169141665556693186984111523151327500629200456251835874488209248629239956041698093191411829338973779504761339565614281197775624488621696710853203452752549747281018583478021069,Homo sapiens,USF2,tf,HepG2,Epithelium,Liver,1,USF2
48825|MBD2,0.00000000000000000000000000000000000000000000000000000000000048576392832886585762335922965743589793432692684364783218936501349058707297732569436744664860773941200952507043178626471154912374688860234580849858513952726356766170116171596866125263464223781612067322,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
37589|MYH11,0.0000000000000000000000000000000000000000000000000000000000009174245419247451190055574100452609139844356537617794658712930818796434044752179469492511780637749439036231387207277260219176042554752655060067831087360071633536508388175232275922218219233831863302208,Homo sapiens,MYH11,not sure,None,Hematopoietic Cell,None,0,MYH11
64317|ETV4,0.00000000000000000000000000000000000000000000000000000000000095049622812812246073373269506660587254133594882004601705950703145124049694723473951575877024179363143641538562984175911689920681821135002251676052029917679283708168499675846833115661273939897226351992,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
71040|ZNF143,0.0000000000000000000000000000000000000000000000000000000000014243710243343130603111079444558910231322617187802637601712495203346810266353622903631985164112493909851084633837873541981171376495491937265895286953777400760915761515034313529183878562601675932418522,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1,ZNF143
49977|BRD4,0.000000000000000000000000000000000000000000000000000000000024133305527985800317530983145223304886006588861283148202652897489727157539916844300958850367564840157600123067561760033407882201821951324164009686793390912930165907102804227660837542324090438382931788,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
53300|RARA,0.000000000000000000000000000000000000000000000000000000000045448492642359608231777035796112387931727061200547564007764162621502099422217644241849212408713377273800606669121091818337457697792373977210961632142508447631044561245241062455610638187524627696695718,Homo sapiens,RARA,tf,TSU-1621-MT,None,None,1,RARA
74656|ZMYM3,0.000000000000000000000000000000000000000000000000000000000093023878572352342979709899598585062708971723248870608944835057473047656823057567711850204305407951227998642648488343561257806289167281278569293676014527509216559509375596711197405557423446784511954553,Homo sapiens,ZMYM3,,HepG2,Epithelium,Liver,1,ZMYM3
37587|GATA2,0.00000000000000000000000000000000000000000000000000000000024984353167525135969902832341089136892297524588520748683331161116800675220226330887804368715499779508866557263499658960971072177587474963817280369662093108623969578289605944991991716747084312945171807,Homo sapiens,GATA2,tf,ME-1,Leukemia Cell,None,0,GATA2
37602|TCF12,0.00000000000000000000000000000000000000000000000000000000025484612477878675073439332717369516668268296065786048557577570288155460196394971345841821405844718962974816013992172298082521676548112243090342123907290691107761242919711539950206832394412482084105615,Homo sapiens,TCF12,tf,ME-1,Leukemia Cell,None,1,TCF12
37596|TAL1,0.00000000000000000000000000000000000000000000000000000000033998679368025658814690629502506224768220211008721966825726973695079139013008345342406171753552540617963600395091842723307147411137392989298171722251975773593182141275756797426900902987896851184862404,Homo sapiens,TAL1,tf,ME-1,Leukemia Cell,None,1,TAL1
33605|FAIRE,0.00000000000000000000000000000000000000000000000000000000049365216021680786612909324409437234196316706342427769465983868006616729895369525127621798668370969184184393723782110261063577635162105326381336171197746472552554719665324767327747952732322570676683945,Homo sapiens,FAIRE,other,HepG2,Epithelium,Liver,1,FAIRE
51591|SRF,0.00000000000000000000000000000000000000000000000000000000049976745153294626624852828446121737788013373052084140584624201459088799217315027611216819784986371821401216323909393197194045716570600522588039943995463054886496431060917900388778044584793582575304191,Homo sapiens,SRF,tf,HUES64,Embryonic Stem Cell,Embryo,1,SRF
63450|HDAC1,0.00000000000000000000000000000000000000000000000000000000081454823423179111035058351651404445173000872535774063495716606445230493663536204318134343805905645917203848673810923098276355918653505021387463744932727353178919960728968993796537031999359636860627976,Homo sapiens,HDAC1,cr,K562,Erythroblast,Bone Marrow,1,HDAC1
64913|BCL3,0.0000000000000000000000000000000000000000000000000000000014108986004454877588557524876436145816117138533746579315559018036153975419689246621790748659149199474278538434492583014341733856233192704071657126074669042596054580040459858112684553166634027963899959,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
50413|KLF11,0.0000000000000000000000000000000000000000000000000000000031646892437698351262895406595664150778879280092133938949030820336985182780654039746241489606265865754652049961769738975108658879754082814522124506815016373464725458027110562596925135944927298476373299,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
46242|RXRA,0.0000000000000000000000000000000000000000000000000000000033748313212968298169103180726657997532922095072055674876242290851647035832136120385999034423405253275173840198437083441517942641141235193208454213264379513510836846140598444034479000062183084011370314,Homo sapiens,RXRA,tf,HepG2,Epithelium,Liver,1,RXRA
2094|NFYA,0.0000000000000000000000000000000000000000000000000000000033772263080053623783208046872845551948250005888764818444174666878237673020174830335873894943471350608110214541397859240869949479659083567183696187038182805039832542046072831590191756135901226204157735,Homo sapiens,NFYA,tf,K562,Erythroblast,Bone Marrow,1,NFYA
70759|OGT,0.0000000000000000000000000000000000000000000000000000000042417241873388062874020350722353595731647537362003574724392344694889927080222804281153962732543829588506958613484462801527449816542766102089177934630864204719188182928986362086369119199784291395266431,Homo sapiens,OGT,other,HEK293,HEK 293 Cell Line,None,1,OGT
46224|ZBTB7A,0.000000000000000000000000000000000000000000000000000000014099403512497144036570966390032638422169598507690472518973341398780910090567924063385862981640390120642214021043448179982187519137482839217062313243105645940714884986922800701551387073599144413583908,Homo sapiens,ZBTB7A,predicted transcription factor,HepG2,Epithelium,Liver,1,ZBTB7A
62608|RAD21,0.000000000000000000000000000000000000000000000000000000014437189100148047811575598647092382522664369563332722608062214461247041949037177693315136874530746819051878148783883880644394813132403640597129415766182763064876790174066288197657328155636059200019586,Homo sapiens,RAD21,not sure,HepG2,Epithelium,Liver,1,RAD21
37619|RUNX1,0.000000000000000000000000000000000000000000000000000000016270146547088068108945761806735785913972018634410633512372993907814037273437447898727154661571906447657085674361792336342113397233363082351102436973366281842876828553143414180618671780395321111382661,Homo sapiens,RUNX1,tf,ME-1,Leukemia Cell,None,1,RUNX1
46239|HNF4G,0.000000000000000000000000000000000000000000000000000000028392877802239576773557837304092078281527642614123004601333059413456661212635720922175777883892895291057978473766953558593723505401395954640616180678879609476800484945340002790792352753449343670586151,Homo sapiens,HNF4G,predicted transcription factor,HepG2,Epithelium,Liver,1,HNF4G
4631|KAT5,0.000000000000000000000000000000000000000000000000000000030959607518459928605106226483124256447468447113024720224480383809866592077661229612194125362377477447923188630712831528838724890803634029942805531856892688386428820096488668753131841329872094147159701,Homo sapiens,KAT5,cr,None,T Lymphocyte,Blood,1,KAT5
38585|TAF3,0.000000000000000000000000000000000000000000000000000000055598292332926307251943887974153341483989670632243608783087558008576531177240027948982978759127737698936159165627354549745353760126082661090357408923155419325580641974007475747761882672723494507997929,Homo sapiens,TAF3,cr,None,Epithelium,Colon,1,TAF3
69201|TRIM24,0.000000000000000000000000000000000000000000000000000000062088993712395343038403224847674025357256044716019510885211974654603473315620772383481675921547454762224122690903608225089183915405544222720492180630638188852497631710381977894276925187088613438385812,Homo sapiens,TRIM24,both predicted transcription factor and chromatin regulator,LNCaP,Epithelium,Prostate,1,TRIM24
56113|AR,0.000000000000000000000000000000000000000000000000000000074270356882812294188389305440298687571843963960340767288467782624420746384564935815437477371351392591614024273700143608214706310325952231220852610079989535905071968696795352191438038008606221166015706,Homo sapiens,AR,tf,None,None,Prostate,1,AR
55284|5MC,0.000000000000000000000000000000000000000000000000000000098345574503645484690629496118121113578003596212952822075708860608416466474608214775330979661896764448720490072437308019557209521424822192472768476479878860398433371934919088276405535058766536236705518,Homo sapiens,5MC,other,LNCaP,Epithelium,Prostate,1,5MC
36819|ESR1,0.00000000000000000000000000000000000000000000000000000011304460419595577376465094288690112082202879487478158223426522074572818895431360897587177762890845198522945789529375535023776333442713981947330033441739112801410315755492063508698516553606184440443384,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1,ESR1
64866|ZFX,0.00000000000000000000000000000000000000000000000000000017770714583938003047424646775825098184552970111804900374224583215681880501591221594284321679749265649826263364381027170596302037134041023543841739986159711720384484703553118188360812883196416758804647,Homo sapiens,ZFX,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZFX
45807|BHLHE40,0.00000000000000000000000000000000000000000000000000000022005640570019732176352179232198060091640090956623738588700288185295307141148971516342632077079428742330372395709491296909494785646030134516601468353144567520377892932474740138860049828005894744797003,Homo sapiens,BHLHE40,predicted transcription factor,HepG2,Epithelium,Liver,1,BHLHE40
56819|TFAP2A,0.00000000000000000000000000000000000000000000000000000029863335658374176687901174334172063726504345112323512413739674583465782334504100776001972875519970211005477723784673967288897381789947021388206729617165610281635618138000193401827662752051879068856281,Homo sapiens,TFAP2A,predicted transcription factor,None,Neural crest cell,Cranial,1,TFAP2A
74909|POLR3D,0.00000000000000000000000000000000000000000000000000000037219760672947068349848594689238124354054799560287547407622961346326792707379820285757833514353363376009059909040568494751507885029879544114182693193756567898400845816299223551493792085765609998340186,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0,POLR3D
46230|CEBPD,0.00000000000000000000000000000000000000000000000000000047201485711088919911994405967633171609599670199112720692387735206878986027207623864568937418827076901557396786517409482759098521996451209537509259679344623092580570074910257758572219345003996940248774,Homo sapiens,CEBPD,tf,HepG2,Epithelium,Liver,1,CEBPD
37607|CBFB,0.00000000000000000000000000000000000000000000000000000050087724613122747140417820162693573484141886174983165265577073183082777008089442122060639992507493244137811528016555150139599965815690977816663409349362598736509377031902858007379803261092899034645136,Homo sapiens,CBFB,predicted transcription factor,ME-1,Leukemia Cell,None,1,CBFB
64649|ZNF639,0.00000000000000000000000000000000000000000000000000000056761843580849854947269044961806870455943262172987115293974296189064852062873284747012694238256117103427820166277572291799138749958306393721585224458312392313471871097391943895855513288367506253728557,Homo sapiens,ZNF639,tf,K562,Erythroblast,Bone Marrow,1,ZNF639
55465|NELFA,0.0000000000000000000000000000000000000000000000000000010544964487346968479348108150194800769193966426794892879540603385556058755826662287875852136158773639782462846037065767614227448032529745037586212197443618230449260562818601045806563606893067391713014,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
65188|KLF1,0.0000000000000000000000000000000000000000000000000000035536166005487005188728791034154719297102806694100422420644330626477571802561131736607881731858341516271078662936419620258850065480284140630530760760920724417049786239667691292585045478817105364679771,Homo sapiens,KLF1,predicted transcription factor,HEK293,Epithelium,Embryonic Kidney,1,KLF1
37056|FLI1,0.0000000000000000000000000000000000000000000000000000040509141311379086695161256273839524588543557555806068383944605086847449799743213145960975990987970716175678644718865427007923658670997211737104753054473156219334479578467107742949100547031696877438566,Homo sapiens,FLI1,tf,U937,None,Pleura,1,FLI1
49464|552-SKD,0.0000000000000000000000000000000000000000000000000000092162271904638346044553014103814903869470166539498322686747730879352502414469070944926283380151779690125513155114298697393807706852683548856673675198244439659933956031611681660294568437896470944275168,Homo sapiens,552-SKD,other,MCF-7,Epithelium,Breast,1,552-SKD
76529|MBTD1,0.00000000000000000000000000000000000000000000000000001286642748623499823355105010234791576993135971247454156300527593656360791374324566852103235603401428454281673016816942347714800670233494630481325063226896659701968276121535163307639391646678185908286,Homo sapiens,MBTD1,other,K562,Lymphoblast,None,1,MBTD1
45880|JUND,0.000000000000000000000000000000000000000000000000000016335195265580991284137813034609424900123183691905394315163849897766190158328700039326381034875755193140057528946092993380694298641834194443230415696555703268409773646770940048823500687990157566282987,Homo sapiens,JUND,tf,K562,Erythroblast,Bone Marrow,1,JUND
43050|BRD3,0.000000000000000000000000000000000000000000000000000019191168732569011883746905035258609976244474578733303221837298942721518806293447271270916646066964892727526511972489617672035561714322603756077560064476429010966416032545493540635012910974193153198063,Homo sapiens,BRD3,predicted chromatin regulator,MM1.S,B Lymphocyte,Blood,1,BRD3
48755|CBX8,0.000000000000000000000000000000000000000000000000000051537310382843103795159235807408386599655679557794966995295771906932404070097793944706118075436814623285535660794359575747086206724516068656506090091922775143322484953188838062615685004792185088238848,Homo sapiens,CBX8,cr,PC-3,Epithelium,Prostate,1,CBX8
55543|RAG2,0.000000000000000000000000000000000000000000000000000058134405858279869609744276630443313010472491435107441105202691708852537322005283559298439292898722923103018102740369516769976947057096877697230565384736761346483964119141486121477879994474855859364915,Homo sapiens,RAG2,cr,None,Thymocyte,None,1,RAG2
38831|KLF5,0.0000000000000000000000000000000000000000000000000000607795386802108026504449146776336427775887790701818416832714739976750982149472735363528957379271588640460089495473674952571316677935205007581262296150104036567806036956642464967920614623569210886042,Homo sapiens,KLF5,tf,LoVo,None,Colon,1,KLF5
46248|USF1,0.000000000000000000000000000000000000000000000000000065320329831573528050354657756559550782007961920814778856266716533102164901624036223839693710127236039243145767989442868260450456656688375601350194783285736737593937964407946711070980024437485561769293,Homo sapiens,USF1,tf,HepG2,Epithelium,Liver,1,USF1
53347|CDK9,0.000000000000000000000000000000000000000000000000000074523938261420127988212476184863044322561270386714730293863578505547032539903614258014564440068760610032538052999788073784783322541689128665139544508139647099421768641192008858432956291895854701469708,Homo sapiens,CDK9,tf,HeLa,Epithelium,Cervix,1,CDK9
45789|CEBPB,0.00000000000000000000000000000000000000000000000000019905341411216423325761971755581308659432442345158965887118417909081893895076129828733776424123040734818322396333292913986833320858251105994098240279880981937095642412433255040500031028613110941627535,Homo sapiens,CEBPB,tf,HepG2,Epithelium,Liver,1,CEBPB
56982|GTF2B,0.00000000000000000000000000000000000000000000000000022478916915716746902549780817843704269812024089002793559090126342060684168614422136962367324592150980329982762320553437073188303097186791755596220124508311196120369620151569134036182637385765748399259,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
76527|EPC1,0.00000000000000000000000000000000000000000000000000027310349392107006818185578430344717387981208544540024881726399466567069983769326552935256650911074575090073964158336429453207028313191861141295584761560210003535543523816459490915768500712149862286468,Homo sapiens,EPC1,tf,K562,Lymphoblast,None,1,EPC1
9216|POLR2B,0.0000000000000000000000000000000000000000000000000003633123051852436073273072911562952112992928220405346244735502976051907266480794152454150440633478625634415787211498678214305681686484671483100750893581806989208657247087679660063995905362388883650911,Homo sapiens,POLR2B,tf,HeLa,Epithelium,Cervix,1,POLR2B
5517|ARNT,0.0000000000000000000000000000000000000000000000000019079416687747828198913671317386450758092943729075169167469361179457534205599870193832952255844489435192276110087084693875631817174698982292278144604793443954861937114253515646233294567901898296429485,Homo sapiens,ARNT,predicted transcription factor,786-O,Epithelium,Kidney,1,ARNT
58506|WDR5,0.0000000000000000000000000000000000000000000000000083806245441545396822534156843442552004737264368889617804158392547358168957060865333355585794943219744224346372712786497946328490079847892566729443009337195036647888429802029924883787739218968084086749,Homo sapiens,WDR5,cr,BE2-C,Neuroblast,Brain,1,WDR5
46235|HDAC2,0.0000000000000000000000000000000000000000000000000088403977357813426827394826405428800737205880062744826159556681000318995785284608288609208242404832884536592486447466248571155354677730085300861896122899694153188381412508708152497610367531347644403814,Homo sapiens,HDAC2,cr,HepG2,Epithelium,Liver,1,HDAC2
65062|ZNF467,0.0000000000000000000000000000000000000000000000000093658469136791235160510074705371931288956046659501368253311171565421851166672288844044584360179094875774179227479451706755330680001888938602249472313773813130741007068881400522342009602696651570913044,Homo sapiens,ZNF467,,HEK293,Epithelium,Embryonic Kidney,1,ZNF467
56817|NR2F1,0.000000000000000000000000000000000000000000000000012061798384862238020242201477162129155176231643311322307643166490895774332360973955769884211416247505468263228668436552465952759940713503485663730533178435126882840694984200238952108376177959734922723,Homo sapiens,NR2F1,tf,None,Neural crest cell,Cranial,1,NR2F1
